Year,Local,State,Federal
1990,1.682754195,1.693623524,0.218960153
1991,1.68422015,1.63859291,0.22209621
1992,1.739189334,1.715205038,0.244285667
1993,1.754229244,1.700864446,0.258890296
1994,1.754979052,1.658022482,0.25887037
1995,1.710625064,1.722653318,0.250612391
1996,1.683078026,1.743583001,0.243720344
1997,1.662766084,1.757423837,0.241002434
1998,1.661208506,1.792748875,0.252481553
1999,1.641716409,1.809998734,0.262167289
2000,1.620183726,1.855130901,0.272299315
2001,1.678684452,1.940299598,0.282905082
2002,1.689630538,1.940762736,0.311442384
2003,1.690151199,1.923133045,0.336704115
2004,1.70813861,1.831714307,0.353253634
2005,1.69634142,1.808405959,0.35455067
2006,1.723402175,1.807245937,0.354908075
2007,1.741963426,1.874644361,0.335309904
2008,1.769579839,1.966876997,0.332578008
2009,1.836009411,1.958535329,0.401375883
2010,1.78391335,1.765736087,0.518388707