id,name,lon,lat
1,Chengdu,104.0088564,30.69919773
2,Chongqing,106.6044045,29.57204492
3,Dazhou,107.4621608,31.19599385
4,Wanzhou,108.4090346,30.78536632
5,Wushan,109.8906135,31.08157803
6,Qianjiang,108.7717123,29.56003455
7,Fuling,107.3654434,29.72442815
8,Zigong,104.7929695,29.35554939
9,Nanchong,106.0988939,30.78701109
10,Ziyang,104.6815307,30.14165286
11,Bazhong,106.7389658,31.86335482
12,Guangyuan,105.8177393,32.41571298
13,Mianyang,104.7272063,31.49043344
14,Luzhou,105.4293303,28.88674164
15,Chengkou,108.6710516,31.96480028
16,Dianjiang,107.3222119,30.28744081
17,Yongchuan,105.9337911,29.35104829
18,Hechuan,106.2603515,29.98103223
19,Shizhu,108.1176326,29.99391898
20,Wuxi,109.5167557,31.36312573
21,Kaizhou,108.4339128,31.20093172
22,Wansheng,106.9122228,28.9409419
23,Dazu,105.7220934,29.69629574
24,Pengshui,108.148896,29.32929766
25,Youyang,108.7613244,28.82570024
26,Xiushan,108.9755235,28.47888413
27,Leshan,103.7684287,29.58725787